source,source_record_id,country_iso3,country_name,country_inferred,inference_basis,review_flags,crop,crop_latin,variety_name,variety_aliases,variety_type,year_release,release_status,breeder,maintainer,status,ecology,notes,source_url,retrieved_at
kephis_2025,MAIZE#DH 11,KEN,Kenya,False,,kephis_partial_extract:breeder,MAIZE,Zea mays L.,DH 11,,,2007,released,,,,,,https://www.kephis.go.ke/sites/default/files/2025-02/NATIONAL%20CROP%20VARIETY%20LIST-%202025%20EDITION.pdf,2026-05-19T21:02:27+00:00
kephis_2025,PIGEON PEA#Kat 777,KEN,Kenya,False,,kephis_partial_extract:breeder,PIGEONPEA,Cajanus Cajan L. Millsp,Kat 777,,,1981,released,,KARI- Katumani,,altitude_masl: 600-1500, Tolerant to fusarium wilt | Alt(masl): 600-1500 | Maturity: 5-6 | Yield: 1.5- 2.2t/ha,https://www.kephis.go.ke/sites/default/files/2025-02/NATIONAL%20CROP%20VARIETY%20LIST-%202025%20EDITION.pdf,2026-05-19T21:02:27+00:00
kephis_2025,PIGEON PEA#Kat81/3/3,KEN,Kenya,False,,kephis_partial_extract:breeder,PIGEONPEA,Cajanus Cajan L. Millsp,Kat81/3/3,,,1981,released,,KARI- Katumani,,altitude_masl: 900-1800, Tolerant to fusarium wilt | Alt(masl): 900-1800 | Maturity: 5.5 - 6 | Yield: 2.0-2.5,https://www.kephis.go.ke/sites/default/files/2025-02/NATIONAL%20CROP%20VARIETY%20LIST-%202025%20EDITION.pdf,2026-05-19T21:02:27+00:00
kephis_2025,PIGEON PEA#ICEAP00040,KEN,Kenya,False,,kephis_partial_extract:breeder,PIGEONPEA,Cajanus Cajan L. Millsp,ICEAP00040,,,1995,released,,ND,,altitude_masl: 900-1800," Tolerant to insect pest, wilt. | Alt(masl): 900-1800 | Maturity: 4-6 | Yield: 2.0-2.5",https://www.kephis.go.ke/sites/default/files/2025-02/NATIONAL%20CROP%20VARIETY%20LIST-%202025%20EDITION.pdf,2026-05-19T21:02:27+00:00
kephis_2025,PIGEON PEA#Mbaazi - 1,KEN,Kenya,False,,kephis_partial_extract:breeder,PIGEONPEA,Cajanus Cajan L. Millsp,Mbaazi - 1,,,1998,released,,KARI- Katumani,,altitude_masl: 600-900," Short duration,(single season) | Alt(masl): 600-900 | Maturity: 3-4 | Yield: 1.8-2.2",https://www.kephis.go.ke/sites/default/files/2025-02/NATIONAL%20CROP%20VARIETY%20LIST-%202025%20EDITION.pdf,2026-05-19T21:02:27+00:00
kephis_2025,PIGEON PEA#Katumani 60/8,KEN,Kenya,False,,kephis_partial_extract:breeder,PIGEONPEA,Cajanus Cajan L. Millsp,Katumani 60/8,,,1998,released,,KARI- Katumani,,altitude_masl: 10-1800," Short duration, Ratoons well | Alt(masl): 10-1800 | Maturity: 4-5 | Yield: 2.0-2.5",https://www.kephis.go.ke/sites/default/files/2025-02/NATIONAL%20CROP%20VARIETY%20LIST-%202025%20EDITION.pdf,2026-05-19T21:02:27+00:00
kephis_2025,PIGEON PEA#Peacock,KEN,Kenya,False,,kephis_partial_extract:breeder,PIGEONPEA,Cajanus Cajan L. Millsp,Peacock,,,2011,released,,LELDET,,altitude_masl: 800-1500M," Short duration  Drought tolerant, Good market value | Alt(masl): 800-1500M | Maturity: 4 | Yield: 1.5",https://www.kephis.go.ke/sites/default/files/2025-02/NATIONAL%20CROP%20VARIETY%20LIST-%202025%20EDITION.pdf,2026-05-19T21:02:27+00:00
kephis_2025,PIGEON PEA#Karai,KEN,Kenya,False,,kephis_partial_extract:breeder,PIGEONPEA,Cajanus Cajan L. Millsp,Karai,,,2011,released,,LELDET,,altitude_masl: 1000- 1800M," Firewood  Ratoons  Drought tolerant  Nitrogen fixing, Soil improving  Cattle fodder | Alt(masl): 1000- 1800M | Maturity: 6 | Yield: 2",https://www.kephis.go.ke/sites/default/files/2025-02/NATIONAL%20CROP%20VARIETY%20LIST-%202025%20EDITION.pdf,2026-05-19T21:02:27+00:00
kephis_2025,PIGEON PEA#Egerton Mbaazi M 1,KEN,Kenya,False,,kephis_partial_extract:breeder,PIGEONPEA,Cajanus Cajan L. Millsp,Egerton Mbaazi M 1,,,2012,released,,Egerton University,,"altitude_masl: Recommen d e d f o r l o w to medium- dry altitude zones (800-1500 m.a.s.l) of Marigat, Machakos, Kerio valley, Kambi ya Mawe, Coastal areas, Mbeere, Kitui, Mwea, Kisumu"," Drought tolerant  T o l e r a n t t o Fusarium wilt  Tolerant to pest  Tough seeded  Cream color of grain | Alt(masl): Recommen d e d f o r l o w to medium- dry altitude zones (800-1500 m.a.s.l) of Marigat, Machakos, Kerio valley, Kambi ya Mawe, Coastal areas, Mbeere, Kitui, Mwea, Kisumu | Maturity: 4-5 | Yield: 1.4-2.8 t o n s / h a",https://www.kephis.go.ke/sites/default/files/2025-02/NATIONAL%20CROP%20VARIETY%20LIST-%202025%20EDITION.pdf,2026-05-19T21:02:27+00:00
kephis_2025,PIGEON PEA#KALCc-OP1- 04,KEN,Kenya,False,,kephis_partial_extract:breeder,PIGEONPEA,Cajanus Cajan L. Millsp,KALCc-OP1- 04,,,2018,released,,KALRO- Katumani,,"altitude_masl: Makueni, Kitui, Mwingi, Mbeere, Tharaka, Meru Machakos"," Large pod size  Large grain size  Fusarium wilt tolerant | Alt(masl): Makueni, Kitui, Mwingi, Mbeere, Tharaka, Meru Machakos | Maturity: 4-5 | Yield: 1.5 - 3.2",https://www.kephis.go.ke/sites/default/files/2025-02/NATIONAL%20CROP%20VARIETY%20LIST-%202025%20EDITION.pdf,2026-05-19T21:02:27+00:00
